Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Referee,Assistant 1,Assistant 2,MatchID,Attendance
1974,19 Jun 1974 - 19:30 ,Group 4,Olympiastadion,Munich ,Haiti,0,7,Poland,SUPPIAH George (SIN),BIWERSI Ferdinand (GER),ESCHWEILER Walter (GER),2085,25300
1974,19 Jun 1974 - 19:30 ,Group 4,Neckarstadion,Stuttgart ,Argentina,1,1,Italy,KAZAKOV Pavel (URS),GLOECKNER Rudolf (GDR),RAINEA Nicolae (ROU),1949,70100
1974,22 Jun 1974 - 16:00 ,Group 2,Waldstadion,Frankfurt/Main ,Scotland,1,1,Yugoslavia,GONZALEZ ARCHUNDIA Alfonso (MEX),GLOECKNER Rudolf (GDR),TSCHENSCHER Kurt (GER),2175,56000
1974,22 Jun 1974 - 16:00 ,Group 1,Olympiastadion,Berlin West ,Australia,0,0,Chile,NAMDAR Jafar (IRN),LORAUX Vital (BEL),VAN GEMERT Arie (NED),1953,17400
1974,22 Jun 1974 - 16:00 ,Group 2,Parkstadion,Gelsenkirchen ,Zaire,0,3,Brazil,RAINEA Nicolae (ROU),ANGONESE Aurelio (ITA),OHMSEN Klaus (GER),1987,36200
1974,22 June 1974 - 19:30 ,Group 1,Volksparkstadion,Hamburg ,German DR,1,0,Germany FR,BARRETO RUIZ Ramon (URU),MARQUES Armando (BRA),PESTARINO Luis (ARG),2062,60200
1974,23 Jun 1974 - 16:00 ,Group 3,Westfalenstadion,Dortmund ,Bulgaria,1,4,Netherlands,BOSKOVIC Tony (AUS),BIWERSI Ferdinand (GER),ESCHWEILER Walter (GER),1990,53300
1974,23 Jun 1974 - 16:00 ,Group 4,Olympiastadion,Munich ,Argentina,4,1,Haiti,SANCHEZ IBANEZ Pablo (ESP),KAMEL Mahmoud (EGY),NDIAYE Birame (SEN),1947,25900
1974,23 Jun 1974 - 16:00 ,Group 3,Rheinstadion,D�Sseldorf ,Sweden,3,0,Uruguay,LINEMAYR Erich (AUT),LLOBREGAT Vicente (VEN),ALDINGER Heinz (GER),2181,28300
1974,23 Jun 1974 - 16:00 ,Group 4,Neckarstadion,Stuttgart ,Poland,2,1,Italy,WEYLAND Hans Joachim (FRG),WINSEMANN Werner (CAN),SCHULENBURG Gerhard (GER),2129,70100
1974,26 Jun 1974 - 16:00 ,Group B,Rheinstadion,D�Sseldorf ,Yugoslavia,0,2,Germany FR,MARQUES Armando (BRA),ANGONESE Aurelio (ITA),PEREZ NUNEZ Edison A. (PER),2066,67385
1974,26 Jun 1974 - 19:30 ,Group A,Niedersachsenstadion,Hanover ,Brazil,1,0,German DR,THOMAS Clive (WAL),BABACAN Dogan (TUR),BOSKOVIC Tony (AUS),1982,59863
1974,26 Jun 1974 - 19:30 ,Group A,Parkstadion,Gelsenkirchen ,Netherlands,4,0,Argentina,DAVIDSON Bob (SCO),TSCHENSCHER Kurt (GER),KAZAKOV Pavel (URS),1948,56548
1974,26 Jun 1974 - 19:30 ,Group B,Neckarstadion,Stuttgart ,Sweden,0,1,Poland,BARRETO RUIZ Ramon (URU),GONZALEZ ARCHUNDIA Alfonso (MEX),PESTARINO Luis (ARG),2167,44955
1974,30 Jun 1974 - 16:00 ,Group A,Niedersachsenstadion,Hanover ,Argentina,1,2,Brazil,LORAUX Vital (BEL),NDIAYE Birame (SEN),TAYLOR John (ENG),1945,39400
1974,30 Jun 1974 - 16:00 ,Group B,Waldstadion,Frankfurt/Main ,Poland,2,1,Yugoslavia,GLOECKNER Rudolf (GDR),MARQUES Armando (BRA),WINSEMANN Werner (CAN),2170,58000
1974,30 Jun 1974 - 16:00 ,Group A,Parkstadion,Gelsenkirchen ,German DR,0,2,Netherlands,SCHEURER Ruedi (SUI),LINEMAYR Erich (AUT),DELGADO Omar (COL),2067,68348
1974,30 Jun 1974 - 19:30 ,Group B,Rheinstadion,D�Sseldorf ,Germany FR,4,2,Sweden,KAZAKOV Pavel (URS),RAINEA Nicolae (ROU),SANCHEZ IBANEZ Pablo (ESP),2065,67800
1974,03 Jul 1974 - 17:00 ,Group B,Waldstadion,Frankfurt/Main ,Poland,0,1,Germany FR,LINEMAYR Erich (AUT),PALOTAI Karoly (HUN),SCHEURER Ruedi (SUI),2064,62000
1974,03 Jul 1974 - 19:30 ,Group A,Westfalenstadion,Dortmund ,Netherlands,2,0,Brazil,TSCHENSCHER Kurt (GER),DAVIDSON Bob (SCO),SUPPIAH George (SIN),1983,53700
1974,03 Jul 1974 - 19:30 ,Group A,Parkstadion,Gelsenkirchen ,Argentina,1,1,German DR,TAYLOR John (ENG),KAMEL Mahmoud (EGY),THOMAS Clive (WAL),1946,54254
1974,03 Jul 1974 - 19:30 ,Group B,Rheinstadion,D�Sseldorf ,Sweden,2,1,Yugoslavia,PESTARINO Luis (ARG),BARRETO RUIZ Ramon (URU),LLOBREGAT Vicente (VEN),2182,41300
1974,06 Jul 1974 - 16:00 ,Match for third place,Olympiastadion,Munich ,Brazil,0,1,Poland,ANGONESE Aurelio (ITA),NAMDAR Jafar (IRN),NDIAYE Birame (SEN),1984,77100
1974,07 July 1974 - 16:00 ,Final,Olympiastadion,Munich ,Netherlands,1,2,Germany FR,TAYLOR John (ENG),GONZALEZ ARCHUNDIA Alfonso (MEX),BARRETO RUIZ Ramon (URU),2063,78200
1978,01 Jun 1978 - 15:00 ,Group 2,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Germany FR,0,0,Poland,COEREZZA Norberto Angel (ARG),ITHURRALDE Arturo Andres (ARG),COMESANA Miguel (ARG),2351,67579
1978,02 Jun 1978 - 13:45 ,Group 1,Estadio Jos� Mar�a Minella,Mar Del Plata ,Italy,2,1,France,RAINEA Nicolae (ROU),LINEMAYR Erich (AUT),SILVAGNO CAVANNA Juan (CHI),2347,42373
1978,02 Jun 1978 - 16:45 ,Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Tunisia,3,1,Mexico,GORDON John (SCO),DUBACH Jean (SUI),GONELLA Sergio (ITA),2433,17396
1978,02 Jun 1978 - 19:15 ,Group 1,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Argentina,2,1,Hungary,GARRIDO Antonio (POR),NDIAYE Youssou (SEN),PARTRIDGE Pat (ENG),2199,71615
1978,03 Jun 1978 - 13:45 ,Group 3,Estadio Jos� Mar�a Minella,Mar Del Plata ,Sweden,1,1,Brazil,THOMAS Clive (WAL),JARGUZ Alojzy (POL),NAMDAR Jafar (IRN),2253,32569
1978,03 Jun 1978 - 13:45 ,Group 3,Jose Amalfitani,Buenos Aires ,Austria,2,1,Spain,PALOTAI Karoly (HUN),BARRETO RUIZ Ramon (URU),IVANOV Anatoly (URS),2216,40841
1978,03 Jun 1978 - 16:45 ,Group 4,Estadio Ol�mpico Chateau Carreras,Cordoba ,Peru,3,1,Scotland,ERIKSSON Ulf (SWE),GEBREYESUS DIFUE Tesfaye (ERI),MARTINEZ Angel (ESP),2451,37927
1978,03 Jun 1978 - 16:45 ,Group 4,San Martin,Mendoza ,Netherlands,3,0,IR Iran,GONZALEZ ARCHUNDIA Alfonso (MEX),WURTZ Robert (FRA),COMESANA Miguel (ARG),2388,33431
1978,06 Jun 1978 - 13:45 ,Group 1,Estadio Jos� Mar�a Minella,Mar Del Plata ,Italy,3,1,Hungary,BARRETO RUIZ Ramon (URU),BIWERSI Ferdinand (GER),GORDON John (SCO),2396,26533
1978,06 Jun 1978 - 16:45 ,Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Poland,1,0,Tunisia,MARTINEZ Angel (ESP),PESTARINO Luis (ARG),THOMAS Clive (WAL),2454,9624
1978,06 Jun 1978 - 16:45 ,Group 2,Estadio Ol�mpico Chateau Carreras,Cordoba ,Germany FR,6,0,Mexico,BOUZO Farouk (SYR),GARRIDO Antonio (POR),RION Francis (BEL),2350,35258
1978,06 Jun 1978 - 19:15 ,Group 1,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Argentina,2,1,France,DUBACH Jean (SUI),OROZCO GUERRERO Cesar (PER),WINSEMANN Werner (CAN),2197,71666
1978,07 Jun 1978 - 13:45 ,Group 3,Estadio Jos� Mar�a Minella,Mar Del Plata ,Brazil,0,0,Spain,GONELLA Sergio (ITA),KLEIN Abraham (ISR),ITHURRALDE Arturo Andres (ARG),2246,34771
1978,07 Jun 1978 - 13:45 ,Group 3,Jose Amalfitani,Buenos Aires ,Austria,1,0,Sweden,CORVER Charles (NED),MAKSIMOVIC Dusan (SCG),SEOUDI Hedi (TUN),2224,41424
1978,07 Jun 1978 - 16:45 ,Group 4,Estadio Ol�mpico Chateau Carreras,Cordoba ,Scotland,1,1,IR Iran,NDIAYE Youssou (SEN),RAINEA Nicolae (ROU),COELHO Arnaldo (BRA),2408,7938
1978,07 Jun 1978 - 16:45 ,Group 4,San Martin,Mendoza ,Netherlands,0,0,Peru,PROKOP Adolf (GDR),COEREZZA Norberto Angel (ARG),IVANOV Anatoly (URS),2394,28125
1978,10 Jun 1978 - 15:10 ,Group 1,Estadio Jos� Mar�a Minella,Mar Del Plata ,France,3,1,Hungary,COELHO Arnaldo (BRA),PARTRIDGE Pat (ENG),SILVAGNO CAVANNA Juan (CHI),2344,23127
1978,10 Jun 1978 - 16:45 ,Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Poland,3,1,Mexico,NAMDAR Jafar (IRN),ERIKSSON Ulf (SWE),CORVER Charles (NED),2431,22651
1978,10 Jun 1978 - 16:45 ,Group 2,Estadio Ol�mpico Chateau Carreras,Cordoba ,Germany FR,0,0,Tunisia,OROZCO GUERRERO Cesar (PER),COMESANA Miguel (ARG),PESTARINO Luis (ARG),2352,30667
1978,10 Jun 1978 - 19:15 ,Group 1,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Italy,1,0,Argentina,KLEIN Abraham (ISR),GONZALEZ ARCHUNDIA Alfonso (MEX),RION Francis (BEL),2200,71712
1978,11 Jun 1978 - 13:45 ,Group 3,Estadio Jos� Mar�a Minella,Mar Del Plata ,Brazil,1,0,Austria,WURTZ Robert (FRA),BOUZO Farouk (SYR),GEBREYESUS DIFUE Tesfaye (ERI),2215,35221
1978,11 Jun 1978 - 13:45 ,Group 3,Jose Amalfitani,Buenos Aires ,Spain,1,0,Sweden,BIWERSI Ferdinand (GER),ITHURRALDE Arturo Andres (ARG),PROKOP Adolf (GDR),2337,42132
1978,11 Jun 1978 - 16:45 ,Group 4,Estadio Ol�mpico Chateau Carreras,Cordoba ,Peru,4,1,Iran,JARGUZ Alojzy (POL),MAKSIMOVIC Dusan (SCG),WINSEMANN Werner (CAN),2405,21262
1978,11 Jun 1978 - 16:45 ,Group 4,San Martin,Mendoza ,Scotland,3,2,Netherlands,LINEMAYR Erich (AUT),PALOTAI Karoly (HUN),SEOUDI Hedi (TUN),2395,35130
1978,14 Jun 1978 - 13:45 ,Group A,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Germany FR,0,0,Italy,MAKSIMOVIC Dusan (SCG),GONZALEZ ARCHUNDIA Alfonso (MEX),COMESANA Miguel (ARG),2349,67547
1978,14 Jun 1978 - 13:45 ,Group A,Estadio Ol�mpico Chateau Carreras,Cordoba ,Netherlands,5,1,Austria,GORDON John (SCO),ITHURRALDE Arturo Andres (ARG),BOUZO Farouk (SYR),2220,25050
1978,14 Jun 1978 - 16:45 ,Group B,San Martin,Mendoza ,Brazil,3,0,Peru,RAINEA Nicolae (ROU),DUBACH Jean (SUI),WINSEMANN Werner (CAN),2251,31278
1978,14 Jun 1978 - 19:15 ,Group B,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Argentina,2,0,Poland,ERIKSSON Ulf (SWE),NAMDAR Jafar (IRN),GEBREYESUS DIFUE Tesfaye (ERI),2202,37091
1978,18 Jun 1978 - 13:45 ,Group B,San Martin,Mendoza ,Poland,1,0,Peru,PARTRIDGE Pat (ENG),CLIVE Thomas (WAL),CORVER Charles (NED),2450,35288
1978,18 Jun 1978 - 16:45 ,Group A,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Italy,1,0,Austria,RION Francis (BEL),COEREZZA Norberto Angel (ARG),NDIAYE Youssou (SEN),2221,66695
1978,18 Jun 1978 - 16:45 ,Group A,Estadio Ol�mpico Chateau Carreras,Cordoba ,Germany FR,2,2,Netherlands,BARRETO RUIZ Ramon (URU),COMESANA Miguel (ARG),COELHO Arnaldo (BRA),2348,40750
1978,18 Jun 1978 - 19:15 ,Group B,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Argentina,0,0,Brazil,PALOTAI Karoly (HUN),LINEMAYR Erich (AUT),PROKOP Adolf (GDR),2196,37326
1978,21 Jun 1978 - 13:45 ,Group A,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Netherlands,2,1,Italy,MARTINEZ Angel (ESP),PESTARINO Luis (ARG),OROZCO GUERRERO Cesar (PER),2391,67433
1978,21 Jun 1978 - 13:45 ,Group A,Estadio Ol�mpico Chateau Carreras,Cordoba ,Austria,3,2,Germany FR,KLEIN Abraham (ISR),JARGUZ Alojzy (POL),GARRIDO Antonio (POR),2217,38318
1978,21 Jun 1978 - 16:45 ,Group B,San Martin,Mendoza ,Brazil,3,1,Poland,SILVAGNO CAVANNA Juan (CHI),IVANOV Anatoly (URS),GONZALEZ ARCHUNDIA Alfonso (MEX),2252,39586
1978,21 Jun 1978 - 19:15 ,Group B,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Argentina,6,0,Peru,WURTZ Robert (FRA),BIWERSI Ferdinand (GER),GONELLA Sergio (ITA),2201,37315
1978,24 Jun 1978 - 15:00 ,Match for third place,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Brazil,2,1,Italy,KLEIN Abraham (ISR),GONZALEZ ARCHUNDIA Alfonso (MEX),PALOTAI Karoly (HUN),2247,69659
1978,25 Jun 1978 - 15:00 ,Final,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Argentina,3,1,Netherlands,GONELLA Sergio (ITA),BARRETO RUIZ Ramon (URU),LINEMAYR Erich (AUT),2198,71483
1982,13 Jun 1982 - 20:00 ,Group 3,Camp Nou,Barcelona ,Argentina,0,1,Belgium,CHRISTOV Vojtech (TCH),PALOTAI Karoly (HUN),JARGUZ Alojzy (POL),749,95000
1982,14 Jun 1982 - 17:15 ,Group 1,Estadio Municipal de Bala�dos,Vigo ,Italy,0,0,Poland,VAUTROT Michel (FRA),PROKOP Adolf (GDR),RAINEA Nicolae (ROU),995,33000
1982,14 Jun 1982 - 21:00 ,Group 6,Ramon Sanchez Pizjuan,Seville ,Brazil,2,1,Soviet Union,LAMO CASTILLO Augusto (ESP),SANCHEZ ARMINIO Victoriano (ESP),GARCIA CARRION Jose L. (ESP),791,68000
1982,15 Jun 1982 - 17:15 ,Group 1,Riazor,La Coru�A ,Peru,0,0,Cameroon,WOEHRER Franz (AUT),RAINEA Nicolae (ROU),PROKOP Adolf (GDR),833,11000
1982,15 Jun 1982 - 21:00 ,Group 3,Nuevo Estadio,Elche ,Hungary,10,1,El Salvador,AL DOY Ebrahim (BHR),CORVER Charles (NED),LUND-SORENSEN Henning (DEN),896,23000
1982,15 Jun 1982 - 21:00 ,Group 6,La Rosaleda,Malaga ,Scotland,5,2,New Zealand,SOCHA David (USA),CHAN Thomson Tam Sun (HKG),EL GHOUL Yusef Mohamed (LBY),1051,36000
1982,16 Jun 1982 - 17:15 ,Group 2,El Molinon,Gijon ,Germany FR,1,2,Algeria,LABO REVOREDO Enrique (PER),ARISTIZABAL MURCIA Gilberto (COL),CASARIN Paolo (ITA),741,42000
1982,16 Jun 1982 - 17:15 ,Group 4,San Mames,Bilbao ,England,3,1,France,GARRIDO Antonio (POR),CASTRO Gaston (CHI),COELHO Arnaldo (BRA),878,44172
1982,16 Jun 1982 - 21:00 ,Group 5,Luis Casanova,Valencia ,Spain,1,1,Honduras,ITHURRALDE Arturo Andres (ARG),DOTCHEV Bogdan (BUL),BARRANCOS Luis (BOL),901,49562
1982,17 Jun 1982 - 17:15 ,Group 2,Carlos Tartiere,Oviedo ,Chile,0,1,Austria,CARDELLINO DE SAN VICENTE Juan (URU),CASARIN Paolo (ITA),ARISTIZABAL MURCIA Gilberto (COL),764,22500
1982,17 Jun 1982 - 17:45 ,Group 4,Jose Zorrilla,Valladolid ,Czechoslovakia,1,1,Kuwait,DWOMOH Benjamin (GHA),MENDEZ MOLINA Romulo (GUA),VALENTINE Robert (SCO),1012,25000
1982,17 Jun 1982 - 21:00 ,Group 5,La Romareda,Zaragoza ,Yugoslavia,0,0,Northern Ireland,FREDRIKSSON Erik (SWE),GALLER Bruno (SUI),PALOTAI Karoly (HUN),1044,25000
1982,18 Jun 1982 - 17:15 ,Group 1,Estadio Municipal de Bala�dos,Vigo ,Italy,1,1,Peru,ESCHWEILER Walter (GER),RUBIO VAZQUEZ Mario (MEX),KLEIN Abraham (ISR),994,25000
1982,18 Jun 1982 - 21:00 ,Group 3,Jose Rico Perez,Alicante ,Argentina,4,1,Hungary,LACARNE Belaid (ALG),VAUTROT Michel (FRA),RAINEA Nicolae (ROU),752,32093
1982,18 Jun 1982 - 21:00 ,Group 6,Benito Villamarin,Seville ,Brazil,4,1,Scotland,SILES Jesus Paulino (CRC),CHAN Thomson Tam Sun (HKG),PROKOP Adolf (GDR),790,47379
1982,19 Jun 1982 - 19:15 ,Group 1,Riazor,La Coru�A ,Poland,0,0,Cameroon,PONNET Alexis (BEL),ESCHWEILER Walter (GER),RUBIO VAZQUEZ Mario (MEX),834,19000
1982,19 Jun 1982 - 21:00 ,Group 3,Nuevo Estadio,Elche ,Belgium,1,0,El Salvador,MOFFATT Malcolm (NIR),CASTRO Gaston (CHI),JARGUZ Alojzy (POL),774,15000
1982,19 Jun 1982 - 21:00 ,Group 6,La Rosaleda,Malaga ,Soviet Union,3,0,New Zealand,EL GHOUL Yusef Mohamed (LBY),SORIANO ALADREN Emilio (ESP),WHITE Clive (ENG),1054,19000
1982,20 Jun 1982 - 17:15 ,Group 2,El Molinon,Gijon ,Germany FR,4,1,Chile,GALLER Bruno (SUI),CHRISTOV Vojtech (TCH),BOSKOVIC Tony (AUS),813,42000
1982,20 Jun 1982 - 17:15 ,Group 4,San Mames,Bilbao ,England,2,0,Czechoslovakia,CORVER Charles (NED),DOTCHEV Bogdan (BUL),ARISTIZABAL MURCIA Gilberto (COL),889,41123
1982,20 Jun 1982 - 21:00 ,Group 5,Luis Casanova,Valencia ,Spain,2,1,Yugoslavia,LUND-SORENSEN Henning (DEN),GARRIDO Antonio (POR),ITHURRALDE Arturo Andres (ARG),903,48000
1982,21 Jun 1982 - 17:15 ,Group 2,Carlos Tartiere,Oviedo ,Algeria,0,2,Austria,BOSKOVIC Tony (AUS),CHRISTOV Vojtech (TCH),AL DOY Ebrahim (BHR),739,22000
1982,21 Jun 1982 - 17:15 ,Group 4,Jose Zorrilla,Valladolid ,France,4,1,Kuwait,STUPAR Miroslav (URS),FREDRIKSSON Erik (SWE),MATOVINOVIC Damir (CRO),919,30043
1982,21 Jun 1982 - 21:00 ,Group 5,La Romareda,Zaragoza ,Honduras,1,1,Northern Ireland,CHAN Thomson Tam Sun (HKG),LABO REVOREDO Enrique (PER),CASARIN Paolo (ITA),959,15000
1982,22 Jun 1982 - 17:15 ,Group 1,Riazor,La Coru�A ,Poland,5,1,Peru,RUBIO VAZQUEZ Mario (MEX),SORIANO ALADREN Emilio (ESP),SANCHEZ ARMINIO Victoriano (ESP),1055,25000
1982,22 Jun 1982 - 21:00 ,Group 3,Nuevo Estadio,Elche ,Belgium,1,1,Hungary,WHITE Clive (ENG),ESCHWEILER Walter (GER),LACARNE Belaid (ALG),779,37000
1982,22 Jun 1982 - 21:00 ,Group 6,La Rosaleda,Malaga ,Soviet Union,2,2,Scotland,RAINEA Nicolae (ROU),JARGUZ Alojzy (POL),PONNET Alexis (BEL),1071,45000
1982,23 Jun 1982 - 17:15 ,Group 1,Estadio Municipal de Bala�dos,Vigo ,Italy,1,1,Cameroon,DOTCHEV Bogdan (BUL),SORIANO ALADREN Emilio (ESP),SANCHEZ ARMINIO Victoriano (ESP),828,20000
1982,23 Jun 1982 - 21:00 ,Group 3,Jose Rico Perez,Alicante ,Argentina,2,0,El Salvador,BARRANCOS Luis (BOL),LAMO CASTILLO Augusto (ESP),LACARNE Belaid (ALG),751,32500
1982,23 Jun 1982 - 21:00 ,Group 6,Benito Villamarin,Seville ,Brazil,4,0,New Zealand,MATOVINOVIC Damir (CRO),KLEIN Abraham (ISR),CORVER Charles (NED),789,43000
1982,24 Jun 1982 - 17:15 ,Group 2,Carlos Tartiere,Oviedo ,Algeria,3,2,Chile,MENDEZ MOLINA Romulo (GUA),FREDRIKSSON Erik (SWE),COELHO Arnaldo (BRA),740,16000
1982,24 Jun 1982 - 17:15 ,Group 4,Jose Zorrilla,Valladolid ,France,1,1,Czechoslovakia,CASARIN Paolo (ITA),DWOMOH Benjamin (GHA),PALOTAI Karoly (HUN),922,28000
1982,24 Jun 1982 - 21:00 ,Group 5,La Romareda,Zaragoza ,Honduras,0,1,Yugoslavia,CASTRO Gaston (CHI),SILES Jesus Paulino (CRC),ITHURRALDE Arturo Andres (ARG),962,25000
1982,25 Jun 1982 - 17:15 ,Group 2,El Molinon,Gijon ,Germany FR,1,0,Austria,VALENTINE Robert (SCO),AL DOY Ebrahim (BHR),COELHO Arnaldo (BRA),770,41000
1982,25 Jun 1982 - 17:15 ,Group 4,San Mames,Bilbao ,England,1,0,Kuwait,ARISTIZABAL MURCIA Gilberto (COL),LUND-SORENSEN Henning (DEN),GARCIA CARRION Jose L. (ESP),882,39700
1982,25 Jun 1982 - 21:00 ,Group 5,Luis Casanova,Valencia ,Northern Ireland,1,0,Spain,ORTIZ Hector (PAR),LABO REVOREDO Enrique (PER),PONNET Alexis (BEL),902,49562
1982,28 Jun 1982 - 17:15 ,Group 4,Vicente Calderon,Madrid ,Austria,0,1,France,PALOTAI Karoly (HUN),CHRISTOV Vojtech (TCH),MATOVINOVIC Damir (CRO),767,37000
1982,28 Jun 1982 - 21:00 ,Group 1,Camp Nou,Barcelona ,Poland,3,0,Belgium,SILES Jesus Paulino (CRC),LABO REVOREDO Enrique (PER),CASTRO Gaston (CHI),782,65000
1982,29 Jun 1982 - 17:15 ,Group 3,Sarria,Barcelona ,Italy,2,1,Argentina,RAINEA Nicolae (ROU),GALLER Bruno (SUI),LACARNE Belaid (ALG),753,43000
1982,29 Jun 1982 - 21:00 ,Group 2,Santiago Bernabeu,Madrid ,Germany FR,0,0,England,COELHO Arnaldo (BRA),ORTIZ Hector (PAR),MENDEZ MOLINA Romulo (GUA),879,75000
1982,01 Jul 1982 - 17:15 ,Group 4,Vicente Calderon,Madrid ,Austria,2,2,Northern Ireland,PROKOP Adolf (GDR),FREDRIKSSON Erik (SWE),ESCHWEILER Walter (GER),771,20000
1982,01 Jul 1982 - 21:00 ,Group 1,Camp Nou,Barcelona ,Belgium,0,1,Soviet Union,VAUTROT Michel (FRA),CORVER Charles (NED),GARRIDO Antonio (POR),783,45000
1982,02 Jul 1982 - 17:15 ,Group 3,Sarria,Barcelona ,Argentina,1,3,Brazil,RUBIO VAZQUEZ Mario (MEX),ARISTIZABAL MURCIA Gilberto (COL),CASTRO Gaston (CHI),750,44000
1982,02 Jul 1982 - 21:00 ,Group 2,Santiago Bernabeu,Madrid ,Germany FR,2,1,Spain,CASARIN Paolo (ITA),WOEHRER Franz (AUT),PALOTAI Karoly (HUN),900,90089
1982,04 Jul 1982 - 17:15 ,Group 4,Vicente Calderon,Madrid ,France,4,1,Northern Ireland,JARGUZ Alojzy (POL),RAINEA Nicolae (ROU),EL GHOUL Yusef Mohamed (LBY),920,37000
1982,04 Jul 1982 - 21:00 ,Group 1,Camp Nou,Barcelona ,Poland,0,0,Soviet Union,VALENTINE Robert (SCO),LUND-SORENSEN Henning (DEN),WHITE Clive (ENG),1058,65000
1982,05 Jul 1982 - 17:15 ,Group 3,Sarria,Barcelona ,Italy,3,2,Brazil,KLEIN Abraham (ISR),CHAN Thomson Tam Sun (HKG),DOTCHEV Bogdan (BUL),788,44000
1982,05 Jul 1982 - 21:00 ,Group 2,Santiago Bernabeu,Madrid ,Spain,0,0,England,PONNET Alexis (BEL),VAUTROT Michel (FRA),LACARNE Belaid (ALG),877,75000
1982,08 Jul 1982 - 17:15 ,Semi-finals,Camp Nou,Barcelona ,Poland,0,2,Italy,CARDELLINO DE SAN VICENTE Juan (URU),SOCHA David (USA),ARISTIZABAL MURCIA Gilberto (COL),996,50000
1982,08 Jul 1982 - 21:00 ,Semi-finals,Ramon Sanchez Pizjuan,Seville ,Germany FR,3,3,France,CORVER Charles (NED),GALLER Bruno (SUI),VALENTINE Robert (SCO),914,70000
1982,10 Jul 1982 - 20:00 ,Match for third place,Jose Rico Perez,Alicante ,Poland,3,2,France,GARRIDO Antonio (POR),RUBIO VAZQUEZ Mario (MEX),LACARNE Belaid (ALG),921,28000
1982,11 Jul 1982 - 20:00 ,Final,Santiago Bernabeu,Madrid ,Italy,3,1,Germany FR,COELHO Arnaldo (BRA),KLEIN Abraham (ISR),CHRISTOV Vojtech (TCH),923,90000
1986,31 May 1986 - 12:00 ,Group A,Estadio Azteca,Mexico City ,Bulgaria,1,1,Italy,FREDRIKSSON Erik (SWE),CODESAL MENDEZ Edgardo (MEX),ROTH Volker (GER),459,96000
1986,01 Jun 1986 - 16:00 ,Group C,Nou Camp - Estadio Le�n,Leon ,Canada,0,1,France,SILVA ARCE Hernan (CHI),MENDEZ MOLINA Romulo (GUA),ULLOA MORERA Berny (CRC),468,65500
1986,01 Jun 1986 - 12:00 ,Group D,Jalisco,Guadalajara ,Spain,0,1,Brazil,BAMBRIDGE Christopher (AUS),SOCHA David (USA),KEIZER Jan (NED),439,35748
1986,02 Jun 1986 - 12:00 ,Group C,Estadio Irapuato,Irapuato ,Soviet Union,6,0,Hungary,AGNOLIN Luigi (ITA),COURTNEY George (ENG),BRUMMEIER Horst (AUT),610,16500
1986,02 Jun 1986 - 12:00 ,Group A,Estadio Ol�mpico Universitario,Mexico City ,Argentina,3,1,Korea Republic,SANCHEZ ARMINIO Victoriano (ESP),GONZALEZ ROA Gabriel (PAR),DIAZ PALACIO Jesus (COL),395,60000
1986,02 Jun 1986 - 16:00 ,Group F,Estadio Universitario,Monterrey ,Morocco,0,0,Poland,MARTINEZ BAZAN Jose Luis (URU),QUINIOU Joel (FRA),TRAORE Idrissa (MLI),674,19900
1986,03 Jun 1986 - 12:00 ,Group D,Tres de Marzo,Guadalajara ,Algeria,1,1,Northern Ireland,BUTENKO Valeri (RUS),DAINA Andre (SUI),PETROVIC Zoran (SRB),379,22000
1986,03 Jun 1986 - 12:00 ,Group B,Estadio Azteca,Mexico City ,Belgium,1,2,Mexico,ESPOSITO Carlos (ARG),SILVA VALENTE Carlos Alberto (POR),MENDEZ MOLINA Romulo (GUA),428,110000
1986,03 Jun 1986 - 16:00 ,Group F,Tecnologico,Monterrey ,Portugal,1,0,England,ROTH Volker (GER),DOTCHEV Bogdan (BUL),AL SHARIF Jamal (SYR),538,23000
1986,04 Jun 1986 - 12:00 ,Group B,Bombonera - Estadio Nemesio Diez,Toluca ,Paraguay,1,0,Iraq,PICON-ACKONG Edwin (MRI),ULLOA MORERA Berny (CRC),SOCHA David (USA),628,24000
1986,04 Jun 1986 - 16:00 ,Group E,Neza,Nezahualcoyotl ,Scotland,0,1,Denmark,NEMETH Lajos (HUN),KIRSCHEN Siegfried (GER),AL SHANAR Fallaj Khuzam (KSA),517,18000
